is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,deposit_type_Non Refund,deposit_type_Refundable,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Undefined
0,35,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,0,D,D,0,240.0,0.0,0,145.0,0,0,Check-Out,2015-07-05,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,68,2015,July,27,1,0,4,2,0,0,USA,TA/TO,0,0,0,D,E,0,240.0,0.0,0,97.0,0,3,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,18,2015,July,27,1,0,4,2,1,0,ESP,TA/TO,0,0,0,G,G,1,241.0,0.0,0,154.77,0,1,Check-Out,2015-07-05,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,37,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,0,E,E,0,241.0,0.0,0,94.71,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,68,2015,July,27,1,0,4,2,0,0,IRL,TA/TO,0,0,0,D,E,0,240.0,0.0,0,97.0,0,3,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,37,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,0,E,E,0,8.0,0.0,0,97.5,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,12,2015,July,27,1,0,1,2,0,0,IRL,TA/TO,0,0,0,A,E,0,240.0,0.0,0,88.2,0,0,Check-Out,2015-07-02,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,0,2015,July,27,1,0,1,2,0,0,FRA,Corporate,0,0,0,A,G,0,0.0,110.0,0,107.42,0,0,Check-Out,2015-07-02,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,7,2015,July,27,1,0,4,2,0,0,GBR,Direct,0,0,0,G,G,0,250.0,0.0,0,153.0,0,1,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,37,2015,July,27,1,1,4,1,0,0,GBR,TA/TO,0,0,0,F,F,0,241.0,0.0,0,97.29,0,1,Check-Out,2015-07-06,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,72,2015,July,27,1,2,4,2,0,0,PRT,Direct,0,0,0,A,A,1,250.0,0.0,0,84.67,0,1,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,72,2015,July,27,1,2,4,2,0,0,PRT,Direct,0,0,0,D,D,1,250.0,0.0,0,99.67,0,1,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,127,2015,July,27,1,2,5,2,0,0,GBR,TA/TO,0,0,0,D,I,0,115.0,0.0,0,94.95,0,1,Check-Out,2015-07-01,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,78,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,0,D,D,0,5.0,0.0,0,63.6,1,0,Check-Out,2015-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,48,2015,July,27,1,2,5,2,0,0,IRL,TA/TO,0,0,0,D,D,0,8.0,0.0,0,79.5,0,0,Check-Out,2015-07-08,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,60,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,107.0,0,2,Canceled,2015-05-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,77,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,94.0,0,0,Check-Out,2015-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,99,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,0,D,D,0,240.0,0.0,0,87.3,1,1,Check-Out,2015-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,118,2015,July,27,1,4,10,1,0,0,Unknown,Direct,0,0,0,A,A,2,0.0,0.0,0,62.0,0,2,Check-Out,2015-07-15,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,95,2015,July,27,1,4,11,2,0,0,GBR,TA/TO,0,0,0,D,D,0,241.0,0.0,0,63.86,0,0,Check-Out,2015-07-16,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,96,2015,July,27,1,2,8,2,0,0,PRT,Direct,0,0,0,E,E,0,0.0,0.0,0,108.3,0,2,Canceled,2015-05-29,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,69,2015,July,27,2,2,4,2,0,0,IRL,TA/TO,0,0,0,A,C,0,175.0,0.0,0,65.5,0,0,Check-Out,2015-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,45,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,0,D,D,0,241.0,0.0,0,108.8,0,1,Canceled,2015-05-19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,40,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,0,D,D,0,241.0,0.0,0,108.8,0,1,Canceled,2015-06-19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,15,2015,July,27,2,1,3,2,0,0,ESP,TA/TO,0,0,0,A,C,0,240.0,0.0,0,98.0,0,0,Check-Out,2015-07-06,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,36,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,0,D,D,0,241.0,0.0,0,108.8,0,1,Check-Out,2015-07-06,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,43,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,0,D,D,0,241.0,0.0,0,108.8,0,0,Canceled,2015-05-23,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,70,2015,July,27,2,2,3,2,0,0,ROU,Direct,0,0,0,E,E,0,250.0,0.0,0,137.0,0,1,Check-Out,2015-07-07,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,45,2015,July,27,2,2,3,2,0,0,PRT,TA/TO,0,0,0,G,G,0,241.0,0.0,0,117.81,0,0,Canceled,2015-05-18,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,45,2015,July,27,2,2,3,2,0,0,IRL,TA/TO,0,0,0,D,D,0,8.0,0.0,0,79.5,0,0,Check-Out,2015-07-07,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,16,2015,July,27,2,2,3,2,0,0,ESP,Direct,0,0,0,F,F,0,0.0,0.0,0,123.0,0,0,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,107,2015,July,27,2,2,5,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,110.7,0,2,Check-Out,2015-07-09,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,47,2015,July,27,2,2,5,2,2,0,PRT,TA/TO,0,0,0,G,G,0,240.0,0.0,0,153.0,0,0,Canceled,2015-06-02,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,96,2015,July,27,2,2,5,2,0,0,ESP,TA/TO,0,0,0,A,A,0,134.0,0.0,0,58.95,0,1,Check-Out,2015-07-09,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,113,2015,July,27,2,2,5,2,0,0,NOR,TA/TO,0,0,0,E,E,0,156.0,0.0,0,82.88,0,2,Check-Out,2015-07-09,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,90,2015,July,27,2,2,5,2,0,0,GBR,TA/TO,0,0,0,A,B,1,243.0,0.0,0,82.35,0,0,Check-Out,2015-07-09,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,50,2015,July,27,2,2,5,2,0,0,IRL,TA/TO,0,0,0,E,F,1,241.0,0.0,0,119.35,0,1,Check-Out,2015-07-09,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,113,2015,July,27,2,2,5,2,0,0,NOR,TA/TO,0,0,0,D,D,0,156.0,0.0,0,67.58,0,2,Check-Out,2015-07-09,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,93,2015,July,27,2,3,8,2,0,0,IRL,TA/TO,0,0,0,A,A,0,156.0,0.0,0,56.01,0,0,Check-Out,2015-07-13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,76,2015,July,27,2,4,10,2,0,0,OMN,TA/TO,0,0,0,D,D,0,243.0,0.0,0,110.7,0,0,Check-Out,2015-07-16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,3,2015,July,27,2,0,1,2,0,0,ESP,TA/TO,0,0,0,A,C,0,240.0,0.0,0,88.2,1,0,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,1,2015,July,27,2,0,1,2,0,0,ARG,TA/TO,0,0,0,H,H,0,240.0,0.0,0,147.0,1,0,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,1,2015,July,27,2,0,1,2,2,0,ESP,Direct,0,0,0,C,C,0,0.0,0.0,0,107.0,1,2,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0,2015,July,27,2,0,1,2,0,0,PRT,Direct,0,0,0,H,H,0,0.0,0.0,0,147.0,0,0,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0,2015,July,27,2,0,1,2,0,0,PRT,TA/TO,0,0,0,A,D,0,240.0,0.0,0,117.9,0,2,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,0,2015,July,27,2,0,1,2,0,0,PRT,Direct,0,0,0,G,G,0,0.0,0.0,0,123.0,0,0,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,14,2015,July,27,2,0,2,2,0,0,USA,TA/TO,0,0,0,A,C,0,242.0,0.0,0,98.0,0,1,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,10,2015,July,27,2,0,2,2,0,0,PRT,TA/TO,0,0,0,G,G,0,241.0,0.0,0,117.81,0,0,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,5,2015,July,27,2,0,2,2,0,0,IRL,TA/TO,0,0,0,E,E,0,240.0,0.0,0,135.0,1,2,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,17,2015,July,27,2,0,3,2,0,0,ESP,Direct,0,0,0,F,F,0,250.0,0.0,0,133.0,0,1,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,93,2015,July,27,2,0,3,2,0,0,IRL,TA/TO,0,0,0,A,C,0,115.0,0.0,0,58.95,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3,2015,July,27,2,0,3,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,136.33,0,2,Canceled,2015-06-29,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,10,2015,July,27,3,0,2,2,2,0,USA,TA/TO,0,0,0,G,H,0,240.0,0.0,0,153.0,1,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,3,2015,July,27,3,0,2,2,0,0,ESP,TA/TO,0,0,0,A,C,0,240.0,0.0,0,110.5,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,51,2015,July,27,3,0,2,2,0,0,POL,TA/TO,0,0,0,D,D,0,242.0,0.0,0,97.0,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,71,2015,July,27,3,0,2,3,0,0,PRT,TA/TO,0,0,0,A,A,0,242.0,0.0,0,110.3,0,2,Canceled,2015-06-16,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,63,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,82.0,0,2,Canceled,2015-06-18,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,62,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,D,D,0,240.0,0.0,0,97.0,0,1,Canceled,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,101,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,73.8,0,1,Canceled,2015-06-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,2,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,A,A,0,3.0,0.0,0,91.5,0,0,Check-Out,2015-07-05,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,15,2015,July,27,3,0,2,2,0,0,ESP,TA/TO,0,0,0,A,A,0,240.0,0.0,0,114.5,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,51,2015,July,27,3,0,2,3,0,0,PRT,TA/TO,0,0,0,A,A,0,242.0,0.0,0,110.3,0,0,Canceled,2015-06-09,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,3,2015,July,27,3,1,2,2,0,0,ESP,TA/TO,0,0,0,A,A,0,240.0,0.0,0,90.9,1,0,Check-Out,2015-07-06,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,48,2015,July,27,3,1,2,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,123.0,0,0,Canceled,2015-05-26,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,2,2015,July,27,3,2,2,1,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,122.0,0,0,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,72,2015,July,27,3,2,2,2,0,0,DEU,TA/TO,0,0,0,A,A,0,105.0,0.0,0,110.7,1,0,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,81,2015,July,27,3,2,6,3,0,0,PRT,TA/TO,0,0,0,D,D,0,5.0,0.0,0,85.86,0,0,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,99,2015,July,27,3,2,7,2,0,0,FRA,TA/TO,0,0,0,A,A,0,40.0,0.0,0,58.95,0,0,Check-Out,2015-07-12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,368,2015,July,27,3,3,7,2,0,0,PRT,TA/TO,0,0,0,A,A,0,40.0,0.0,0,55.68,0,0,Canceled,2015-05-19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,364,2015,July,27,3,3,7,2,0,0,GBR,TA/TO,0,0,0,A,A,0,40.0,0.0,0,55.68,0,0,Check-Out,2015-07-13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,81,2015,July,27,3,3,7,2,0,0,PRT,Direct,0,0,0,A,A,2,250.0,0.0,0,124.0,0,1,Canceled,2015-06-09,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,99,2015,July,27,3,3,7,2,0,0,GBR,TA/TO,0,0,0,E,E,0,115.0,0.0,0,111.15,0,0,Check-Out,2015-07-13,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,324,2015,July,27,3,4,10,2,0,0,GBR,TA/TO,0,0,0,E,E,0,40.0,0.0,0,134.73,0,0,Check-Out,2015-07-17,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,69,2015,July,27,3,4,10,2,0,0,GBR,TA/TO,0,0,0,F,F,1,241.0,0.0,0,92.45,0,1,Check-Out,2015-07-17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,79,2015,July,27,3,6,15,2,1,0,PRT,TA/TO,0,0,0,A,A,0,242.0,0.0,0,108.73,0,2,Canceled,2015-04-15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,12,2015,July,27,3,0,1,2,0,0,GBR,TA/TO,0,0,0,A,C,0,240.0,0.0,0,73.8,0,0,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,9,2015,July,27,3,0,1,2,0,0,PRT,TA/TO,0,0,0,A,C,0,240.0,0.0,0,98.0,1,2,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,1,2015,July,27,3,0,1,2,0,0,ESP,TA/TO,0,0,0,A,C,0,240.0,0.0,0,131.0,0,1,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,21,2015,July,27,3,0,1,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,123.0,0,0,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,9,2015,July,27,3,0,1,2,0,0,USA,TA/TO,0,0,0,C,C,0,241.0,0.0,0,94.71,0,0,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,109,2015,July,27,3,0,1,2,0,0,BEL,TA/TO,0,0,0,A,A,0,240.0,0.0,0,123.0,0,2,Check-Out,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,109,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,123.0,0,1,Canceled,2015-05-26,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,72,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,73.8,0,1,Canceled,2015-06-29,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,63,2015,July,27,3,2,5,2,0,0,PRT,TA/TO,0,0,0,F,F,0,242.0,0.0,0,117.0,0,1,Canceled,2015-05-13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,63,2015,July,27,3,2,5,3,0,0,ESP,TA/TO,0,0,0,E,E,0,105.0,0.0,0,196.54,0,1,Check-Out,2015-07-10,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,101,2015,July,27,3,2,5,2,1,0,PRT,TA/TO,0,0,0,D,D,0,240.0,0.0,0,99.3,1,2,Check-Out,2015-07-10,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,102,2015,July,27,3,2,5,2,0,0,DEU,Direct,0,0,0,E,E,0,250.0,0.0,0,90.95,0,0,Check-Out,2015-07-10,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,4,2015,July,27,4,2,1,2,0,0,ESP,Direct,0,0,0,A,C,0,250.0,0.0,0,92.67,0,1,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,98,2015,July,27,4,2,1,2,0,0,FRA,TA/TO,0,0,0,D,D,0,8.0,0.0,0,71.55,1,0,Check-Out,2015-07-07,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,92,2015,July,27,4,2,4,1,2,0,FRA,TA/TO,0,0,0,F,F,0,241.0,0.0,0,96.49,0,2,Check-Out,2015-07-10,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,95,2015,July,27,4,2,4,2,0,0,PRT,TA/TO,0,0,0,A,C,0,240.0,0.0,0,85.8,1,2,Check-Out,2015-07-10,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,102,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,96.3,0,1,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,26,2015,July,27,4,2,5,2,2,0,PRT,TA/TO,0,0,0,H,H,0,240.0,0.0,0,163.0,0,0,Canceled,2015-06-09,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,73,2015,July,27,4,2,5,3,0,0,PRT,Direct,0,0,0,D,D,0,250.0,0.0,0,172.0,0,1,Canceled,2015-05-20,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,102,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,110.7,0,1,Canceled,2015-04-22,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,115,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,0,A,A,0,134.0,0.0,0,58.95,0,1,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,102,2015,July,27,4,2,5,2,0,1,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,73.8,0,2,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,86,2015,July,27,4,2,5,2,0,0,CHE,TA/TO,0,0,0,D,D,0,240.0,0.0,0,97.0,0,2,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,78,2015,July,27,4,2,5,2,0,1,PRT,TA/TO,0,0,0,E,F,0,240.0,0.0,0,139.0,0,2,Check-Out,2015-07-11,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,52,2015,July,27,4,2,5,2,0,0,GBR,TA/TO,0,0,0,A,A,0,147.0,0.0,0,67.24,0,0,Check-Out,2015-07-11,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,29,2015,July,27,4,2,6,3,0,0,PRT,TA/TO,0,0,0,E,E,0,241.0,0.0,0,116.5,0,1,Check-Out,2015-07-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,101,2015,July,27,4,2,6,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,96.3,0,1,Canceled,2015-05-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,109,2015,July,27,4,2,6,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,123.0,0,1,Check-Out,2015-07-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,92,2015,July,27,4,4,6,2,0,0,GBR,TA/TO,0,0,0,D,D,0,40.0,0.0,0,71.55,0,1,Check-Out,2015-07-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,92,2015,July,27,4,4,6,2,0,0,PRT,TA/TO,0,0,0,D,D,0,40.0,0.0,0,71.55,0,1,Check-Out,2015-07-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,79,2015,July,27,4,4,6,2,1,0,PRT,Direct,0,0,0,D,D,1,250.0,0.0,0,149.0,0,1,Check-Out,2015-07-14,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,2,2015,July,27,4,0,1,2,2,0,PRT,TA/TO,0,0,0,H,G,1,240.0,0.0,0,163.0,1,0,Check-Out,2015-07-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,30,2015,July,27,4,0,1,2,0,0,PRT,TA/TO,0,0,0,D,C,0,8.0,0.0,0,79.5,0,0,Check-Out,2015-07-05,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,51,2015,July,27,4,0,1,1,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,105.0,0,0,Canceled,2015-05-29,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,36,2015,July,27,4,0,1,1,0,0,PRT,Direct,0,0,0,E,G,1,250.0,0.0,0,123.0,0,0,No-Show,2015-07-04,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,73,2015,July,27,4,0,1,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,73.8,0,2,Canceled,2015-05-13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
